pk	evidence	params
615	[-566. -563. -566. -584. -563.]	[ 0.     0.117  3.025  2.695  0.526 -2.029  3.287  2.888]
686	[-240. -243. 1163. -243. -240.]	[ 0.    -0.255  3.723  2.312  0.084 -1.684  2.648  2.791]
665	[1160. -217. -217. -217. -213.]	[ 0.     0.451  0.744  1.792  0.353 -1.395  3.41   1.778]
783	[ 161. 1239.  114.  114.  114.]	[ 0.     0.185  1.765  2.033 -0.122 -2.015  2.988  3.04 ]
710	[ 185.  -42.  185. 1145.  -42.]	[ 0.    -0.046  3.315  1.407 -0.312 -1.612  3.219  3.138]
641	[1204. -375. -537. -331. -463.]	[ 0.    -0.799  2.906  2.259  0.694 -1.209  3.028  3.197]
758	[302. 335. 302. 302. 302.]	[ 0.    -0.277  2.225  2.252 -0.029 -1.27   0.79   1.385]
735	[ 104.  104.  144. 1134.  104.]	[ 0.    -0.215  2.496  2.552  0.195 -2.142  2.627  2.294]
616	[1059. -502. -502. -502. -502.]	[ 0.    -0.105  3.257  2.616  0.6   -1.975  2.661  3.246]
666	[1150. -347. -342. -369. -342.]	[ 0.     0.321  3.289  2.936 -0.355 -1.769  3.277  2.817]
687	[-264. -264. -252. -252. -264.]	[ 0.    -0.397  3.489  3.064 -0.128 -1.504  2.98   2.746]
784	[ 115.  108.  115. 1230.  108.]	[ 0.     0.068  3.66   1.994 -0.296 -1.311  2.229  0.84 ]
711	[ 103.  103. 1140.   58.  128.]	[ 0.    -0.527  3.01   2.7    0.308 -2.101  2.854  2.936]
736	[ 122.  122. 1131.  122.  122.]	[ 0.    -0.345  3.005  2.581  0.23  -2.108  2.057  2.719]
759	[ 264.  264. 1138.  264.  264.]	[ 0.    -0.834  2.581  2.517 -0.113 -1.441  1.886  2.196]
642	[-378. -345. -341. -341. -345.]	[ 0.     0.27   2.654  2.985  0.115 -2.037  2.745  4.074]
617	[-583. -585. -585. -583. -583.]	[ 0.     0.579  3.082  2.753 -0.228 -1.455  3.212  1.503]
688	[-403. -403. 1146.   -8. -403.]	[ 0.    -0.295  3.123  4.019 -0.054 -1.71   4.097  3.351]
667	[-356. -356. -363. -356. -356.]	[ 0.    -0.357  3.524  3.168 -0.131 -1.472  3.118  2.883]
785	[ 171.  171.  157. 1224.  157.]	[ 0.    -0.473  4.123  2.34  -0.036 -1.598  2.     1.828]
760	[ -73.  -81.  -81. 1283.  -73.]	[ 0.     0.503  1.07   1.639  0.577 -1.92   2.13   3.162]
737	[81. 55. 81. 81. 55.]	[ 0.    -0.448  3.162  3.249  0.386 -2.036  1.839  2.561]
618	[-419. -496. -462. 1055. -496.]	[ 0.    -0.141  2.768  2.884  0.345 -1.049  1.242  1.785]
712	[-29. -29. -29. -29.  56.]	[ 0.    -0.126  3.025  2.917  0.349 -2.344  2.703  2.826]
643	[-442. -442. -395. -395. -311.]	[ 0.     0.403  1.488  1.95   0.138 -1.611  3.086  3.852]
786	[  96.   71. 1217.   96.   96.]	[ 0.     0.074  3.303  2.353 -0.434 -1.809  2.676  2.258]
761	[  27.   -8. 1258.   -8.   18.]	[ 0.    -0.793  1.971  2.02   0.401 -1.35   3.021  2.537]
668	[-501. -501. -501. -501. -501.]	[ 0.    -0.268  3.196  3.992 -0.028 -1.666  4.051  3.45 ]
738	[ 244. 1125. 1125.  228.  228.]	[ 0.    -0.268  2.284  2.305  0.014 -1.242  0.833  1.42 ]
689	[-309. -309. -309. -309. -309.]	[ 0.    -0.037  2.55   1.396  0.02  -1.299  2.358  3.167]
713	[ -96. -100. 1129.  -96.  -96.]	[ 0.     0.203  2.529  3.022 -0.533 -1.525  2.359  2.1  ]
619	[-536. -536. -536. -536. -536.]	[ 0.    -0.25   3.38   2.751  0.51  -1.081  1.234  1.822]
644	[-365. -365. -243. -320. -342.]	[ 0.     0.274  2.939  2.85  -0.022 -1.791  3.045  2.091]
669	[-417. -417. -417. -417. -417.]	[ 0.    -0.039  2.66   1.417  0.046 -1.279  2.662  3.267]
787	[63. 63. 63. 63. 63.]	[ 0.    -0.496  3.528  2.683 -0.145 -1.612  2.431  2.296]
762	[144. 126. 198. 126. 126.]	[ 0.    -0.512  2.477  2.073  0.454 -1.633  2.624  1.363]
714	[ -29.  -60.  -60.  -24. 1124.]	[ 0.    -0.147  2.414  3.396  0.175 -1.28   1.12   1.372]
690	[-128. -128.  102. -128. -128.]	[ 0.    -0.01   3.385  1.466 -0.288 -1.596  3.281  3.273]
739	[193. 193. 193. 193. 193.]	[ 0.    -0.826  2.665  2.576 -0.068 -1.405  1.898  2.258]
620	[-800. -800. -800. 1224. 1224.]	[ 0.     0.749  2.782  3.161  0.501 -1.144  1.068  1.391]
645	[-332. -329. -324. 1147. -337.]	[ 0.    -0.362  3.666  2.526  0.119 -1.429  2.756  2.25 ]
715	[  56.   56.   20. 1120.   55.]	[ 0.    -0.194  2.571  2.637  0.25  -2.121  2.697  2.352]
670	[-158. -134. -228. -228.    9.]	[ 0.     0.034  3.451  1.529 -0.261 -1.579  3.341  3.428]
691	[1126.    8.  -31.  -31.    8.]	[ 0.    -0.507  3.102  2.817  0.36  -2.076  2.93   2.999]
621	[-652. -652. -572. -552. 1197.]	[ 0.    -0.793  3.013  2.262  0.726 -1.136  3.     3.368]
788	[-50. -50. -50. 310. -50.]	[ 0.    -0.402  2.938  3.542 -0.192 -1.801  3.92   2.959]
763	[ 65.  65.  65.  65. 134.]	[ 0.     0.202  1.793  2.069 -0.1   -2.002  3.007  3.101]
740	[-145. -145. -136. -145. -136.]	[ 0.     0.519  1.106  1.686  0.598 -1.911  2.169  3.258]
716	[1117.   40.   40.   40.   40.]	[ 0.    -0.318  3.079  2.634  0.278 -2.091  2.131  2.798]
646	[-488. -465. -465. -453. -465.]	[ 0.     0.38   3.328  3.068 -0.334 -1.753  3.415  2.98 ]
692	[ -42. -124.  -42. -124. -124.]	[ 0.    -0.095  3.156  3.034  0.408 -2.324  2.734  2.888]
671	[-102. -131. -102. -131.  -41.]	[ 0.    -0.482  3.208  2.959  0.424 -2.057  3.01   3.059]
789	[45. 45. 45. 45. 45.]	[ 0.    -0.085  2.173  1.289 -0.083 -1.371  1.858  2.753]
622	[-465. -487. -487. -436. -465.]	[ 0.     0.304  2.753  3.065  0.158 -2.012  2.819  4.113]
741	[1248.  -72.  -31.  -31.  -28.]	[ 0.    -0.797  2.092  2.057  0.44  -1.34   3.041  2.598]
764	[71. 66. 66. 66. 71.]	[ 0.     0.086  3.685  2.01  -0.277 -1.301  2.252  0.858]
647	[-471. -417. -471. -471. -471.]	[ 0.     0.142  3.228  3.13  -0.211 -1.674  3.605  2.641]
717	[-31.  15. -31.  -4. -31.]	[ 0.    -0.42   3.233  3.332  0.427 -2.015  1.9    2.649]
693	[-196. -162. -196. 1115. -196.]	[ 0.     0.274  2.548  3.116 -0.507 -1.509  2.428  2.138]
790	[ 188.  188.  188. 1191.  188.]	[ 0.    -0.124  3.048  1.236 -0.378 -1.66   2.982  2.847]
623	[-566. -452. 1160. -566. -452.]	[ 0.     0.428  1.565  2.058  0.184 -1.579  3.092  3.925]
672	[-231. -132. -116. -231. -231.]	[ 0.    -0.061  3.295  3.17   0.473 -2.304  2.782  2.966]
742	[  29.   70. 1236.   29.  114.]	[ 0.     0.365  3.151  3.339  0.479 -1.421 -0.298  2.834]
648	[-604. -604. 1119. -604. -604.]	[ 0.    -0.239  3.291  3.943 -0.007 -1.611  3.957  3.553]
765	[128. 115. 115. 128. 115.]	[ 0.    -0.462  4.059  2.357 -0.025 -1.583  2.056  1.868]
718	[ 159.  141.  141. 1111.  141.]	[ 0.    -0.257  2.35   2.372  0.063 -1.211  0.886  1.464]
791	[1188.  292.  292.  292.  292.]	[ 0.    -0.573  2.788  2.419  0.155 -2.176  2.621  2.774]
624	[-431. 1146. -403. -431. -431.]	[ 0.     0.527  0.792  2.116  0.533 -1.178  3.266  1.186]
694	[-166. -166. -166. -166. -166.]	[ 0.    -0.125  2.536  3.38   0.226 -1.245  1.156  1.425]
673	[-305. -305. 1101. -305. -271.]	[ 0.     0.358  2.555  3.217 -0.473 -1.498  2.507  2.18 ]
743	[ 10.  64.  64.  81. 106.]	[ 0.     0.222  1.824  2.104 -0.076 -1.986  3.019  3.169]
649	[-536. 1111. -536. -536. -536.]	[ 0.    -0.009  2.761  1.452  0.071 -1.26   2.911  3.36 ]
766	[1207.   25.   33.   25.   25.]	[ 0.     0.098  3.296  2.41  -0.425 -1.804  2.737  2.316]
719	[108. 112. 108. 108. 108.]	[ 0.    -0.812  2.762  2.649 -0.017 -1.368  1.911  2.329]
792	[ 222.  222. 1183.  318.  222.]	[ 0.    -0.212  2.678  2.645  0.167 -2.405  2.674  2.694]
674	[-287. 1097. -287. -287. -240.]	[ 0.    -0.099  2.667  3.391  0.282 -1.213  1.203  1.486]
695	[ -80.  -80.  -80. 1106.  135.]	[ 0.    -0.166  2.655  2.723  0.31  -2.099  2.785  2.418]
744	[ 22.  22. 130.  22.  22.]	[ 0.     0.141  2.986  2.416 -0.152 -1.731  2.704  1.318]
793	[ 158.  158.  158. 1178.  158.]	[ 0.    -0.037  2.67   2.732 -0.272 -1.87   2.117  2.055]
767	[  18.   18. 1201.   18.   18.]	[ 0.    -0.488  3.5    2.738 -0.135 -1.597  2.512  2.351]
720	[-216. -209. -216. 1262. -211.]	[ 0.     0.537  1.148  1.74   0.618 -1.899  2.209  3.362]
696	[-55. -55. -55. -55. -55.]	[ 0.    -0.287  3.155  2.684  0.332 -2.072  2.218  2.885]
745	[  71.   66.   66. 1205.  107.]	[ 0.    -0.45   3.975  2.373 -0.012 -1.564  2.127  1.915]
768	[-100. -100. -100. -100. -100.]	[ 0.    -0.388  2.95   3.622 -0.168 -1.788  3.969  3.01 ]
794	[230. 222. 230. 230. 230.]	[ 0.    -0.206  2.067  3.66   0.004 -1.402  1.089  1.239]
721	[ -87. -144.  -80.  -87. -144.]	[ 0.    -0.808  2.258  2.104  0.491 -1.331  3.041  2.681]
697	[-130. -102. -102. -130. -130.]	[ 0.    -0.387  3.322  3.432  0.473 -1.994  1.966  2.751]
746	[ -29.   -4.   -4.  -29. 1197.]	[ 0.     0.128  3.283  2.481 -0.416 -1.798  2.812  2.384]
769	[-4. 43. -4. -4. -4.]	[ 0.    -0.065  2.222  1.307 -0.068 -1.362  1.891  2.804]
795	[323. 280. 280. 280. 280.]	[ 0.    -0.254  2.339  2.36   0.075 -2.19   2.487  2.164]
698	[  38.   62. 1097.   38.   38.]	[ 0.    -0.243  2.425  2.453  0.118 -1.18   0.947  1.516]
722	[ 23. -29.  23. -29. -19.]	[ 0.     0.387  3.07   3.394  0.511 -1.379 -0.298  2.874]
747	[-36. -36. -36. -36. -36.]	[ 0.    -0.476  3.475  2.801 -0.128 -1.579  2.608  2.423]
699	[  11. 1095.    7.   20.   11.]	[ 0.    -0.393  3.     2.455  0.23  -1.246  1.084  1.558]
770	[145. 145. 145. 145. 365.]	[ 0.    -0.11   3.104  1.27  -0.365 -1.65   3.035  2.885]
723	[   9.    6. 1210.  -54.  -54.]	[ 0.     0.247  1.853  2.132 -0.047 -1.962  3.027  3.244]
796	[298. 298. 298. 298. 298.]	[ 0.    -0.401  2.819  2.44   0.128 -2.15   1.907  2.545]
748	[-160. -160. 1182. -160. -160.]	[ 0.    -0.37   2.973  3.735 -0.142 -1.775  4.015  3.076]
724	[ -37. 1201.  -37.  -38.  -37.]	[ 0.     0.126  3.734  2.045 -0.223 -1.281  2.307  0.904]
771	[249. 315. 315. 249. 310.]	[ 0.    -0.564  2.826  2.468  0.186 -2.162  2.669  2.801]
797	[280. 236. 260. 260. 260.]	[ 0.    -0.509  3.015  3.088  0.293 -2.083  1.706  2.376]
749	[ -63. 1175.  -63.  -63.  -63.]	[ 0.    -0.05   2.286  1.326 -0.05  -1.35   1.943  2.875]
772	[176. 176. 176. 176. 176.]	[ 0.    -0.196  2.74   2.688  0.203 -2.393  2.676  2.717]
798	[ 411.  411. 1165.  441.  420.]	[ 0.    -0.293  2.126  2.181 -0.098 -1.319  0.731  1.34 ]
799	[ 372. 1164. 1164.  372.  372.]	[ 0.    -0.841  2.447  2.436 -0.186 -1.498  1.86   2.096]
773	[ 110.  110. 1167.  110.  110.]	[ 0.    -0.008  2.711  2.765 -0.253 -1.863  2.134  2.097]
774	[ 170. 1164. 1164.  170.  170.]	[ 0.    -0.195  2.129  3.571  0.043 -1.376  1.083  1.261]
